DonorItemID,DonorID,ItemID,DonationDate,QuantityDonated
1,47,849,7/11/2024,83
2,49,718,10/21/2024,1
3,1,816,11/2/2024,28
4,48,351,3/28/2024,99
5,31,961,7/28/2024,22
6,34,753,11/14/2024,37
7,30,15,1/30/2025,79
8,7,198,12/18/2024,7
9,39,382,10/24/2024,36
10,5,485,8/18/2024,93
11,20,711,9/22/2024,61
12,38,844,5/20/2024,46
13,27,836,1/5/2025,76
14,25,467,3/9/2024,78
15,32,759,1/8/2025,58
16,40,316,10/29/2024,38
17,1,610,5/30/2024,18
18,26,185,5/16/2024,13
19,34,160,5/29/2024,8
20,20,204,12/20/2024,2
21,37,856,10/9/2024,17
22,24,144,5/28/2024,92
23,44,456,3/20/2024,1
24,3,814,8/20/2024,88
25,49,39,3/3/2025,72
26,7,587,7/24/2024,35
27,39,60,2/16/2025,83
28,6,709,4/10/2024,30
29,43,710,1/4/2025,39
30,23,782,8/10/2024,81
31,5,809,11/29/2024,66
32,4,944,9/24/2024,35
33,31,897,2/12/2025,84
34,30,966,8/24/2024,92
35,23,933,7/25/2024,15
36,14,863,2/1/2025,77
37,43,159,6/6/2024,97
38,17,886,11/9/2024,60
39,26,339,6/30/2024,14
40,2,175,10/10/2024,38
41,35,915,1/19/2025,31
42,40,135,3/28/2024,65
43,18,231,11/17/2024,82
44,19,865,12/4/2024,21
45,41,869,6/3/2024,71
46,3,868,4/3/2024,89
47,7,486,8/14/2024,48
48,3,966,8/16/2024,12
49,17,889,5/11/2024,14
50,23,141,10/25/2024,92
51,28,369,4/17/2024,23
52,29,632,11/9/2024,99
53,18,688,1/22/2025,90
54,17,400,8/15/2024,39
55,5,359,12/24/2024,12
56,40,156,9/26/2024,33
57,14,370,5/3/2024,27
58,27,391,12/17/2024,55
59,39,578,12/20/2024,9
60,6,211,3/9/2024,62
61,12,545,8/26/2024,13
62,38,555,10/29/2024,60
63,16,452,9/18/2024,13
64,4,814,9/24/2024,9
65,27,929,4/2/2024,25
66,9,946,12/7/2024,83
67,34,582,6/30/2024,96
68,33,654,12/8/2024,70
69,46,606,12/22/2024,99
70,9,712,4/15/2024,68
71,4,776,1/4/2025,27
72,48,165,9/28/2024,48
73,15,464,2/3/2025,11
74,3,440,1/18/2025,88
75,10,366,5/19/2024,80
76,22,548,3/1/2025,11
77,10,301,7/15/2024,83
78,41,806,2/21/2025,27
79,27,140,8/13/2024,7
80,6,569,6/3/2024,33
81,49,913,9/10/2024,59
82,30,497,12/14/2024,14
83,36,83,2/4/2025,28
84,9,399,11/27/2024,68
85,34,662,6/25/2024,65
86,28,430,7/3/2024,46
87,12,864,5/16/2024,59
88,2,213,10/16/2024,95
89,39,751,7/27/2024,57
90,24,65,1/28/2025,34
91,1,975,7/14/2024,5
92,20,246,2/4/2025,56
93,24,147,3/23/2024,83
94,23,537,5/9/2024,96
95,3,75,4/13/2024,11
96,47,557,5/24/2024,85
97,23,580,1/28/2025,58
98,4,175,11/12/2024,11
99,50,516,2/21/2025,20
100,9,77,11/10/2024,38
101,17,885,3/12/2024,4
102,49,485,1/31/2025,10
103,9,128,5/20/2024,68
104,41,826,12/16/2024,65
105,35,680,2/21/2025,24
106,40,203,8/18/2024,40
107,48,783,7/7/2024,61
108,19,483,1/30/2025,59
109,12,56,3/13/2024,23
110,48,930,6/3/2024,59
